,Rating,Title,Review,Review_Date
1227,4.0,Ok,Good,27 May 2022
1228,5.0,Excellent phone,Good camera quality,29 July 2022
1229,4.0,Great phone.,Phone is work smooth compare to other phone.,18 May 2022
1230,4.0,Good,Good,Reviewed in India 🇮🇳 on 21 May 2022
1231,4.0,It's ok!,Up,Reviewed in India 🇮🇳 on 22 May 2022
1232,4.0,Need to provide ear phone as well. Company provided is always better,Nae,Reviewed in India 🇮🇳 on 21 May 2022
1233,4.0,Video background blur,Nice design photo,Reviewed in India 🇮🇳 on 19 May 2022
1234,5.0,Looks & feel as well as the performance of this phone is very good.,"The performance of the phone is very good. It's been two weeks now and haven't seen any issues. Cameras are really good and nice pictures. Battery capacity could have been better with more mah (say 5000 mah and above), but the fast charging is just amazing. About 20 minutes, the battery is completely charged. Look and feel of the phone is nice. OnePlus phones are always charged at a premium price, but I feel the cost can be reduced.",Reviewed in India 🇮🇳 on 26 May 2022
1235,3.0,Average phone but costly,"Single sound , display quality is not up to mark , performance issue",Reviewed in India 🇮🇳 on 5 July 2022
1236,5.0,Very good,Very good camera,Reviewed in India 🇮🇳 on 28 July 2022
1237,5.0,Charger cable not working,Phone is good but charger cable not working properly . Even my phone is in warrenty,Reviewed in India 🇮🇳 on 19 July 2022
1238,4.0,Value Phone,"The phone design is sleek and UI is also good, the battery wrap charging time is top notch saves lot of time. Camera quality is average, but overall phone is good as per the pricing.",Reviewed in India 🇮🇳 on 17 April 2022
1239,5.0,Very bad,The media could not be loaded.,Reviewed in India 🇮🇳 on 20 August 2022
1240,4.0,"Camera quality could have been better,","heats up slightly, played pubj on it for 1 hr, Dilivery partners  resulted  in delay of product still would say better mobile in the  range of 8gb.",Reviewed in India 🇮🇳 on 19 April 2022
1241,4.0,Best Admroid can provide,"Swtiched from Apple after 15 years, Really happy that I dnt have to charge my phone 3 times a day. Battery life if way too good. Only problem is the the mirror at back of phone is very delicate, should have been scratch proof",Reviewed in India 🇮🇳 on 8 April 2022
1242,3.0,Issue with Speaker during calling,"Product service at Oneplus store is not good. After just 20 days since I bought I had an issue in speaker during calling (voice interrupt in upper speaker) when i reached the service center it worked there, so they didn't accept my service request on that day, again i faced the same issue so next day again i went to service center and spoke to service engineer there reg. issue so he checked phone, even he didn't knew how the issue is occurring, so finally they  they considered my service req. and deposited my phone now its more than 2 days, imagine u paid Rs.25K and have to keeping roaming to service center that to just within 20 days!so finally they said, they will check and let me know, but i asked them to provide replacement and now its more than 2 days since  i submitted my phone and they didn't responded yet.",Reviewed in India 🇮🇳 on 27 April 2022
1243,5.0,Best price in best phone,😍😍😍,Reviewed in India 🇮🇳 on 29 July 2022
1244,5.0,Best budget phone at this price!!!!,"This review is after 3 weeks of use of Oneplus nord ce2 5g (8gb 128gb)1. Pros- Display is good and gets quite bright in outdoors due to its claimed 800 nits brightness.- Supports upto 8 5G bands. Has wifi 6, bluetooth 5.2, nfc, dual 4G sims with expandable storage.- Mediatek dimensity 900 by no means is an efficienct chip and is a power hogger. But it packs a punch for day to day use. No lag and stutters. Snapdragon SOC fans might want to avoid this phone- Calls are clear and loud. Stereo speaker is single and is decent.- Screen refresh rate of 90hz is sufficient and the general use at 90hz feels smooth and fluid.- Under display fingerpriny reader is accurate and never misreads.2. Cons- Camera is decent and requires daylight to take crisp and crystal clear photos.- Battery life is 1 day for heavy users and is 2 days for light users. I got 8hrs of SOT with medium to heavy use. Mind that it was always on 90hz mode.Overall package is good and i'm totally satisfied with it.",Reviewed in India 🇮🇳 on 14 March 2022
1245,5.0,Good,The media could not be loaded.,Reviewed in India 🇮🇳 on 20 August 2022
1246,5.0,Everything seems fine,Great,Reviewed in India 🇮🇳 on 29 July 2022
1247,3.0,Camera clarity is worst,"OnePlus is losing its originality, previous OnePlus mobiles are very good in terms of camera , performance etc.,,But now (OnePlus Nord CE 2) is not having such great features .Camera clarity is worst.Performance is below average ( BGMI cannot play effectively)Battery is good.Design is decent.",Reviewed in India 🇮🇳 on 8 June 2022
1248,3.0,"Can buy ,but battery drain fast.","Battery drain fast, and charging also fast with in 30 min 100% charged. over all phone is fine.",Reviewed in India 🇮🇳 on 30 June 2022
1249,5.0,Thanks one plus for given nice phon6,,Reviewed in India 🇮🇳 on 28 July 2022
1250,5.0,Like this phone,Super,Reviewed in India 🇮🇳 on 29 July 2022
1251,5.0,"Slim mobile, 10min full chargeable",Good Quality and offerderable,Reviewed in India 🇮🇳 on 27 July 2022
1252,3.0,Net is slow,,Reviewed in India 🇮🇳 on 11 July 2022
1253,3.0,Not good not bad,Option are limited in settings...Battery is Max a daySlim and weightlessCamera is okay...Processes is not up to mark to say about,Reviewed in India 🇮🇳 on 26 June 2022
1254,4.0,A balanced phone with required features,Camera quality is decent but not wowScreen color resolution is decent but not greatI think its a very balanced phone under 25k and dont compare it with the onplus upper segment series,Reviewed in India 🇮🇳 on 14 April 2022
1255,5.0,Awesome.As expected OnEPlUS Legacy.,Awesome Product.,Reviewed in India 🇮🇳 on 28 July 2022
1256,5.0,Excellent,Very good,Reviewed in India 🇮🇳 on 28 July 2022
1257,5.0,Worth the price,"Build quality is good, processor is strong, refresh rate is good, back camera jitters a bit",Reviewed in India 🇮🇳 on 18 July 2022
1258,5.0,Front camera is not good,"The media could not be loaded.
                



 Front camera is not good",Reviewed in India 🇮🇳 on 13 August 2022
1259,4.0,Good,Very good phone 👍👍 I'm very happy ❤️,Reviewed in India 🇮🇳 on 15 May 2022
1260,4.0,Excellent lower midrange smartphone,"Excellent lower midrange smartphone with nice look and appropriate performance. Ordered for my colleague, he loves it.",8 May 2022
1261,5.0,Superb phone!!!,"I am using this phone for over 3 moths now  and it is working perfectly. Camera quality is fine specially night photography. Only thing I wish if they could give a 6k mah battery, right now it is a 4500 mah. The 65W charger is an advantage as it charges from 15 to 100% in 35-40 mins. So if you are in hurry a 15-20 mins charge will do.",4 June 2022
1262,5.0,Nice phone in this price go for it,Little bit heat issue.,28 July 2022
1263,4.0,Good battery life shld be taken care,,17 May 2022
1264,5.0,Nice phone,No negative,29 July 2022
1265,4.0,Box doesn't contain ear phone.,Box doesn't contain ear phone.,15 May 2022
1266,5.0,This product is very useful and values off money,This product is very useful and values off money,24 July 2022
1267,4.0,Al good,Charge very fast almost full in 40min,11 May 2022
1268,5.0,Superb quality,Superb quality,27 July 2022
1269,5.0,Nice,Nice,29 July 2022
1270,5.0,Feathers are very good,Camera quality is very good,25 July 2022
1271,4.0,Nice one 😍😍,😍,18 May 2022
1272,4.0,Excellent Features,It is amazing Phone 📱.,12 May 2022
1273,5.0,Nice,Nice Phone,29 July 2022
1274,5.0,Very nice product,Excellent battery & fast charging.,24 July 2022
1275,5.0,Nice mobile,Nice mobile,26 July 2022
1276,5.0,1+ to everything,"Review on 1st dayThe phone is superb amazing with camera,sound,the famous ""Oxygen Os"" the first day didn't disappoint me although i will write agai after 15 days of usage but till now it's amazing .After 15days- The phone is amazing from top to bottom just that you don't compare cameras to another high price phone i felt the night shits were not that clear but it was bright and day time photos are very fine overall after 15days of continuous usage the phone is solid . Great 1+",11 May 2022
1277,4.0,Don't waste your money,"2 days review , only issue is camera the camera quality like 5mp first and back both not satisfied  , this budget go on another mobiles don't buy ..",15 April 2022
1278,4.0,Love 1+,My first ever onle plus.just loved it..thank you amazon.!!,5 May 2022
1279,4.0,"Simple, elegant",Best in class,16 May 2022
1280,3.0,Not living up to the name of one plus,"One plus Nord is not up to three name of one plus. The software is little buggy. When a message is typed, the app gets swapped with another one suddenly. User would be stuck to know what had happened.  Fingerprint reader disappers sometimes when a call is in progress. The buttons on homescreen goes away while a call is in progress. There is no lift to wakeup option. Fingerprint reader under the display is really really inconvenient. Chrome tab gets closed with no default blank tab. The annoying privacy alerts when a video call happens, even after notification is turned off.",Reviewed in India 🇮🇳 on 18 May 2022
1281,4.0,Nice phone,Liked the product.,Reviewed in India 🇮🇳 on 16 May 2022
1282,4.0,Good,Good,Reviewed in India 🇮🇳 on 18 May 2022
1283,4.0,Speaker is not good.,Good except speaker voice quality.,Reviewed in India 🇮🇳 on 11 May 2022
1284,5.0,SUPERB,Bestone plus  hurrey always  awesome,Reviewed in India 🇮🇳 on 27 July 2022
1285,5.0,Best phone at this price,good camera quality,Reviewed in India 🇮🇳 on 27 July 2022
1286,5.0,Best phone ever in a cheap price happy with this one plus phone thanku Amazon  for selling this,Best mobile I ever purchased.its available in cheap price. It has long bettery packup.camera quality is also best I m happy with this one plus Nord ce 2 lite.thnku Amazon and OnePlus for selling this.,Reviewed in India 🇮🇳 on 7 July 2022
1287,5.0,Best segment in budget mobile,"It's battery life , fingerprint and camera quality is to good",Reviewed in India 🇮🇳 on 20 July 2022
1288,5.0,Nice phone,"Nice phone bought 1week back , not seen any issues. Working great",Reviewed in India 🇮🇳 on 20 July 2022
1289,4.0,Slow work,Slow work mobile camera best battery slow,Reviewed in India 🇮🇳 on 11 May 2022
1290,5.0,Excellent mobile with great performance and camera quality,"The media could not be loaded.
                



 The review after using one month, Excellent mobile and camera quality is awesome, there is no heating problem so far, Full charging in 20min, especially camera quality is too good. Processor performance is good. Audio quality is good.",Reviewed in India 🇮🇳 on 11 July 2022
1291,5.0,Best mobile,Very good product all rounder phone,Reviewed in India 🇮🇳 on 22 July 2022
1292,5.0,Good One,Everything is fine,Reviewed in India 🇮🇳 on 25 July 2022
1293,5.0,Very nice,Total allrounder Phone,Reviewed in India 🇮🇳 on 27 July 2022
1294,3.0,Good over all. Some websites not getting listed,Good ist all,Reviewed in India 🇮🇳 on 9 July 2022
1295,4.0,Nycc,Little heat while using phn behalf of that worth of buying it,Reviewed in India 🇮🇳 on 1 May 2022
1296,3.0,Over heating problem.,Over heat during call.,Reviewed in India 🇮🇳 on 11 July 2022
1297,5.0,"I like this phone , features r also very gud",Finger print reader is nice,Reviewed in India 🇮🇳 on 23 July 2022
1298,5.0,It's perfect mobile.,Mobile is awesome and delivery in time order for safely delivered. It's perfect mobile.,Reviewed in India 🇮🇳 on 17 July 2022
1299,2.0,Voice quality issue,Whenever I call someone or get a call I have to cut the call and call back . I don’t hear the voice properly .. and most of the time opposite side person doesn’t hear me,Reviewed in India 🇮🇳 on 23 September 2022
1300,3.0,Average phone,Camera quality and battery quality is poor,Reviewed in India 🇮🇳 on 8 July 2022
1301,5.0,Bad,Battery bahut gatiya hai,Reviewed in India 🇮🇳 on 25 July 2022
1302,5.0,It's a decent phone consisting of almost all features with a proper working.,"I like the phone it's beenmore than 2 months aince I bought it. I have zero complaints about it. And tha camera, battery, sensors, gestures, fingerprint, face recognition almost all features are absolutely amazing wait proper response and working. And being a OnePlus product I guess this phone can run for atleast 4-6 years without any issues if maintained properly. Worth the money",Reviewed in India 🇮🇳 on 5 June 2022
1303,5.0,Good quality phone,Good quality smartphone in this range,Reviewed in India 🇮🇳 on 22 July 2022
1304,4.0,Average,Camera quality is not so good as expected,Reviewed in India 🇮🇳 on 4 May 2022
1305,4.0,Almost product is good.,Battery life and camera is goood,Reviewed in India 🇮🇳 on 13 May 2022
1306,2.0,Do not Buy,"Not the 1+ quality at all..recommend to do not buy this product.Camera Quality rating 2 out of 5.Finger Print reader- 3 out of 5.Phone heating issue, even you can not use the torch during video watch time, phone will population system heat.",Reviewed in India 🇮🇳 on 24 September 2022
1307,5.0,Good looking mobile,"The media could not be loaded.
                



 Nice productI am very happy",Reviewed in India 🇮🇳 on 8 August 2022
1308,5.0,awesome phone in this range,phone is very good. i am happy to buy this,Reviewed in India 🇮🇳 on 19 July 2022
1309,5.0,Nice Phone,Very nice product. You can go on to purchase this.,Reviewed in India 🇮🇳 on 19 July 2022
1310,4.0,OnePlus family,"It's just a phone,That's all.Nothing more nothing less.I think nord series is an adopted child by OnePlus. It has no traditional features of OnePlus family",Reviewed in India 🇮🇳 on 12 April 2022
1311,5.0,A better phone for work because it works fast,,Reviewed in India 🇮🇳 on 25 July 2022
1312,4.0,Good phone,"Cheapest one plus device but lacks many features, camera is not of a great quality, multitasking is quite good.",Reviewed in India 🇮🇳 on 27 April 2022
1313,4.0,Battery backup is average.,Battery drain very fast. Camera is ok . Phone unlocking-  double tap option is not available.,Reviewed in India 🇮🇳 on 29 April 2022
1314,5.0,Super phone,Bought it for my mom and it's perfect. She loves it. Just buy,Reviewed in India 🇮🇳 on 22 July 2022
1315,5.0,Really this is the very gud quality fon,Like,Reviewed in India 🇮🇳 on 25 July 2022
1316,5.0,Handy mobile,Ease to use.. camera quality also best.. fast functioning mobile,Reviewed in India 🇮🇳 on 18 July 2022
1317,5.0,64W Ultra fast charging take only 30 mins for days use charging. Camera is also awesome,,Reviewed in India 🇮🇳 on 26 July 2022
1318,5.0,Value For Money,"I wanted to gift a fone to my parents, after a research of almost 20 days I ended up taking 2 mobiles of this Nord 2 5g...1) User friendly interface, specially for elder ones.2) Battery is long lasting3) Fingerprint senser is fast enough.4) The camera is satisfactory.5) Sound quality is wonderful.Overall the fone is worth the money.",Reviewed in India 🇮🇳 on 3 June 2022
1319,5.0,काहीच बघायचं काम नाही ओके मध्ये आहे सगळं,खूप छान मोबाईल आहे हा एकदा वापरून बघा,Reviewed in India 🇮🇳 on 20 July 2022
1320,5.0,Amazing Phone,"Best Operating system after iPhone so you and ur data is safe. Those who do all their banking transactions through mobile, understand it's need. Plus 3 years security update. That's really great thing.2. Camera is good enough. Sharp and zoom is really good. See attached photo taken from 5 th floor.3. AMOLED display is amazing. Difference noticed while watching movies on Netflix. It's super.4. No DTS however phone sound is quite loud. Can take calls on loudspeaker without any issue.5. No complaint in speed. I don't play games however tried and it did not disappoint me.6. No heating issue. Heats little bit while charging and it's obvious as it's 120 W, I believe. Charges mobile to 40% in just 10-15 minutes...7. 2 yes warranty. Seems like company is preety sure, it won't brake down.Conclusion: at this cost getting best OS and happy with that. Rest are not so important for me however phone did well on all areas.Best of luck Chinese company... Till the time India doesn't develop its own effective mobile, keep earning. We will catch you soon!!",Reviewed in India 🇮🇳 on 26 February 2022
1321,4.0,Build quality,Proformane is good..but build quality need to improve...compare to Nord 2 ..CE2 is not worth to by in 25k,Reviewed in India 🇮🇳 on 27 April 2022
1322,4.0,Its camera quality,It help in my job,Reviewed in India 🇮🇳 on 12 May 2022
1323,5.0,Battery life,"Inam using this phone one month battery life is good,camera is good, finger print little bit slow. Otherwise phone is super my ratting 4.5.",Reviewed in India 🇮🇳 on 9 July 2022
1324,5.0,Best performance in this price range,,Reviewed in India 🇮🇳 on 23 July 2022
1325,5.0,Nice product and worthy,"Very nice looks, quality,worthy",Reviewed in India 🇮🇳 on 21 July 2022
1326,4.0,Good phone but camera needs to improve,All things are good except camera and battery,Reviewed in India 🇮🇳 on 9 May 2022
1327,5.0,Camera quality is not good,All is good bt camera not good,Reviewed in India 🇮🇳 on 20 July 2022
1328,5.0,Good product,Good,Reviewed in India 🇮🇳 on 25 July 2022
1329,3.0,Only heating problem,phone going to extreme level heating like a fire,Reviewed in India 🇮🇳 on 5 July 2022
1330,3.0,Very disappointing camera but great performance,"The performance and battery life are great but this phone's camera is complete trash, a total let down compared to previous Nords too.",28 June 2022
1331,5.0,I love oneplus phone best phone,Love this phone best phone of the year love to see it,17 July 2022
1332,4.0,Good camera clarity at this price,Nice mobile good camera good speaker battery life some low other features all good,30 April 2022
1333,5.0,Rough n tough phone.,Very good quality and tough phone,19 July 2022
1334,4.0,Nice,Must buy,15 May 2022
1335,4.0,Good mobile but need some software bug fixes,Light weight and back side design is good and gives premium feeling ...but quality is little less ...Touch wise ...screen colors...charging is good... memory card support with dual sim...rest all are good ...Camera needs little improvementAnd some apps having issues which to be fixed,24 March 2022
1336,5.0,Performance level good. Nice product.,Camera quality need more to improve.,19 July 2022
1337,3.0,Sometimes mobile is getting heated up...rest everything is 8/10 such as camera battery,Heating up issues,6 July 2022
1338,5.0,Amazingly good,Nice phone fast charging...all future are very good,18 July 2022
1339,5.0,Performance wise good phone in this range,I have been using this for a few weeks and performance is really up to the notch.I have tried high end games and there is no lag.,6 July 2022
1340,4.0,Battery backup not good,Camera & fingerprint is good but battery backup is poor,30 April 2022
1341,5.0,Reviews of famous influencers are fake,"Best phone, the feel is just like iphone but in a affordable price. I was using mi which has so many preinstalled app but it has a very clean interface.Speed is also good.All good to have featuresDont go for paid reviews of other phone go for this phone it is very good and classy, slim",12 June 2022
1342,4.0,Practical phone with good performance,"Pretty decent phone, using since 1 month, no major issues as of now",30 April 2022
1343,5.0,Good,Good,23 July 2022
1344,4.0,Good product,Camara quality good,16 May 2022
1345,5.0,Superb phone,Nice phone and superb camera and battery backup,19 July 2022
1346,3.0,All screen touch not work,Overall good but coming touch issueThat is not value for money,30 June 2022
1347,4.0,Go for it Nice product,,11 May 2022
1348,4.0,Heating issue,Overall a good phone. Camera quality can be better. Also there are heating issues.,29 April 2022
1349,4.0,best phone for software experience and camera,camera quality is very poor . but if you need good software experience below 25K go for it. also phone is very compact and premium looking,21 April 2022
1350,5.0,Nice camera profomenc,Nice me ✔️,23 July 2022
1351,4.0,Heating problem battery life 😫,Pickup and delivery service very slow,9 May 2022
1352,5.0,It's so premium!,U can't expect this sort of premiums in the other phones in the same price range. Even if they offer better on paper the in-hand experience and quality are far better. The quality and combination of both software and hardware is awesome and super constructive!,18 June 2022
1353,4.0,Lovely phone,Lovely phone,13 May 2022
1354,5.0,"Pros: Awesome display, very quick in response, very much handy, .",Cons: Camera is the only one which doesn't meet my expectations. Previously I was using samsung m51. OnePlus It almost met the 50% of original quality of Samsung m51,5 July 2022
1355,3.0,Ok ok phone,The phone has looping rebooting issues for the first few days. Battery life is okay. Camera is okay,5 July 2022
1356,5.0,Bhai log bhul kar bhi na lo ye mobile baitry bakcap bakwas,Not good mobile baitry baikap bakwas hai 1day and 3 time charj karna padega bhai bacho is mobile se,9 July 2022
1357,4.0,Nice mobile but sound not ok,Nice mobile but sound not ok,3 May 2022
1358,3.0,Average cell phone at reasonable prices. Don't expect like an iPhone,You can try another OnePlus product,2 July 2022
1359,4.0,Here's a Helpfull Review.,Camera - You can get in a 17-20k range phoneProcessor - good for this rangeBattery life - one charge per day (moderate to high screen time)Touch and display - greatGaming - great (for 2-3hrs a day)Speaker - single but loud.Other Specs - satisfyingAnd you get a case and a 65w soopervooc charger 👌🏻,6 March 2022
1360,5.0,Best quality photos and impressive battery life and superfast charging,,21 July 2022
1361,5.0,Comes with a very thin screen guard so get it changed,Nothing that I disliked so far. Using it mostly for calling and photography,15 July 2022
1362,4.0,No more fast charging,"Phone is overall good, but it has stopped fast charging after one month usage.. earlier it used to take 15-20 min for full charge.. but now it takes more than 40 min for a full charge..",1 April 2022
1363,4.0,"battery life kuchh khas nahi, charging speed achhi hai","rate ke accordingbrand naam ki cheez thik hai, baki kuchh vishes nahi.",26 April 2022
1364,5.0,Very good product,,26 July 2022
1365,3.0,Average Andorid phone with good RAM & ROM,"The battery is not up to the mark, however working fine.No heating issue no battery drain, Rear & front Camera are the very average type!!",23 June 2022
1366,4.0,"Average phone, at this price range processor could have been better.",Camera class.... Other things just ok...free accessories good... overall 4.5*,1 May 2022
1367,4.0,Overall Good package,"After 2 days of use, Mobile phone is very good.Amazon delivered in two days for prime members.Camera is very good, I've attached two photos one from front and second from back. Night mode is also decent.Fingerprint scanner is fast and good.Battery life is very good in this range. Charger is blazing fast.",9 March 2022
1368,5.0,Superb quality,Amazing mobile oneplus,22 July 2022
1369,4.0,Nice camera qualuty,,8 May 2022
1370,4.0,"First time OnePlus user, overall impressed!!","I'm a first time OnePlus user, bought this phone via exchange ,  Camera quality is decent, in-hand feel of this device is mind-blowing, it's so slim nd sleek , you're able to use phone just via one hand, you'll love it. I don't play games, so the performance is so far impressive !!",12 March 2022
1371,5.0,Budget phone,"Using this phone since last 20 days and experience nice great phone for 1+ lover who want a budget phone, camera is also desent but expected more, battery life is also fare",1 July 2022
1372,3.0,Not good mobile hang kar raha,Mobile not good,3 July 2022
1373,4.0,Average phone not as oneplus,"For those who are moving from one plus 6, 6t,7 ,Please don't move into this Nord series the experience is not as great as the previous flagships, it seems like it's an oppo phone not one plus. If you wana have a great one plus kind experience move into one plus 9 series",13 March 2022
1374,3.0,Most mobile,,4 July 2022
1375,3.0,Always better To buy Electronic item from sjop directly. After checking all the features,Phone is not as per my expectation battery life is not that good if it is 100% in the morning 6 and If I use 50 % in a day till evening 6 this became 5% max and frint camera is not good it is little blur don't know the reason If anyone want to buy go to shop only I bought this on urgency because I was not able to step outside for my quratine but always prefer buying ohone from shop directly for better result.,18 May 2022
1376,5.0,Good phone,"Design & in-hand fells are looks premium & glosssy back fells glass but it's shiny plastic body! lite Weight phoneDISPLAY is Ok ok type not feels amoled & it's really smooth 90hz If u watching in full screen Cricket aur any videos side banners are Cuts 👎 really hate thisBATTERY will be easily 1 days Battery backup in full charge & fast charging is best 0-100 in 37min that's greatCAMERA is good no complanesPERFORMANCE is Good u full enjoy any type of games & no lagMISSING some extra features OP alert slider , glass Back , sterio speakers, 120hz refresh rate",11 April 2022
1377,3.0,1+ Nord CE 2,Look wise phone is good however it's heats,28 June 2022
1378,4.0,1 star is not given because of poor call recording feature,Never been disappointed yet .good product  but call recording system is poor as it will announce to the opposite person that call is being recorded,14 April 2022
1379,3.0,Bettery life down,The media could not be loaded.,23 July 2022
1380,4.0,Every thing okay,I found one of major cons battery drain very faster when using and not in using.Camera good but it too much loading after capture.,15 April 2022
1381,3.0,Only for OnePlus brand,Overall good phone....but cost is little more when compared to the other phones with same specifications.... Just OnePlus brand tag purpose just you go and buy... that's it,16 June 2022
1382,3.0,One plus in this affordable price range.. very good,May be hang once a day....Camera quality also good not Pro...Finger print n face'unlocking Pro...Screen prooo...,22 June 2022
1383,3.0,Camera is not upto the mark,"Camera quality.I bought OnePlus Nord ce 2 5g 2 days back and found that cam is worst than a mobile under 10k. I raised an support request and meanwhile have done factory reset to handover to Amazon. I'm not sure how but factory reset has resolved the cam issue but the technician didn't visit Instead he called me and guided me to install a software and said the product is good and closed the request. Not satisfied with the support and what if my cam shows up same issue. I feel replacement/refund should be done, as this will not be possible after 2/3 days for my order.",12 May 2022
1384,4.0,Nice products,Nice,7 May 2022
1385,4.0,Value for money,"In this price this phone is good choice. The camera needed little more upgrade but in this price it's good. Everything is smooth and slick. The photos and battery life is good. Nice fast charging, full charge in 20 min to 30 min.",22 March 2022
1386,5.0,Good product,Good,20 July 2022
1387,5.0,Like this phone,"Not so good not so bad, good",19 July 2022
1388,4.0,Great All rounder,"Fantastic battery life,charging is very quick, descent camera clicks good selfie; day 2 day activity no lagging..go for it",14 April 2022
1389,4.0,Will not meet upto your expectations,"Simply if you are a photography freak, the camera won't make you impress at all.",23 April 2022
1390,4.0,Good light weight mobile,ExceptCall recording - - it informs to receiverBuild quality - back side very weekAll other optionsBattery charging very fastFront and back camera goodMemory card slotSound quality is averageDisplay superBack design is goodGorllaglass 5Overall rating  4*Editing after March 15th not found any heating issue,Reviewed in India 🇮🇳 on 4 March 2022
1391,4.0,Everything is ok but feel bad for Android 12. I don't know about games otherwise very good buy.👍🏻,Fingerprint works excellentBattery for me more then enough and 65w charging incredible.Camera is good. Image quality surprised me.,Reviewed in India 🇮🇳 on 18 April 2022
1392,3.0,"Poor network, and Data speed.",Network problem & week in Calls & Data browser,Reviewed in India 🇮🇳 on 27 June 2022
1393,5.0,Superb mobile,,Reviewed in India 🇮🇳 on 20 July 2022
1394,3.0,It's a better smartphone but not very good.,"The media could not be loaded.
                



 Fingerprint reader is quick,Battery 🔋 life is good 👍,Camera quality not so good but a decent camera quality provide,Phone come with Media tec processor not snapdragon processor,Display is good 👍 and 90Hz vs AMOLED make smoothly but in this price segment other brands give 120Hz vs AMOLED and Samsungprovides (SAMOLED) display,Phone look good 👍,5g phone but in india 5g network provide only 8 band,Phone is lite weight and thin.No any IP ratting,Phone Charging speed is fast with 65W Oneplus charger,Reverse charge technology is also good in this Phone,All over good smartphone but in this segment much more good quality product you can take.",Reviewed in India 🇮🇳 on 3 May 2022
1395,4.0,Oneplus CE2,Camera GoodPhotos Quilty super 👌,Reviewed in India 🇮🇳 on 5 May 2022
1396,5.0,Very nice product 😊,Super,Reviewed in India 🇮🇳 on 20 July 2022
1397,5.0,Good budget phone,"This is an amazing phone for people looking at OnePlus brand to start with. I have previously owned One plus 2 and a One plus 5T and when I had to switch this time, I didn’t want to move away from OnePlus brand and spend too much money as well. I am a basic smartphone user and use this for basic browsing, social media, YouTube etc and this phone meets the performance bar. If you are looking for a good phone without making compromises on quality of components, camera etc, you can definitely consider this.",Reviewed in India 🇮🇳 on 20 April 2022
1398,3.0,Poor battery backup,Phone has heating issue and battery backup is poor.,Reviewed in India 🇮🇳 on 26 June 2022
1399,4.0,Overall Good mobile,"Although price is bit higher, mobile is good.Using from last one month,sound, camera clarity,battery back up good.night clicks not so good.",Reviewed in India 🇮🇳 on 16 April 2022
1400,3.0,Not the worth of 25000₹,"Camera quality is not upto the mark as 62MP, Not much advanced as expected and it is comparable to Redmi phones of worth 10000-15000/- ₹ maximum. But Phone look is very good. Phone charging speed is really fast within 30-35 min mobile can be 100 percent charge. Overall mobile is ok..but really not the worth of 25000₹.",Reviewed in India 🇮🇳 on 27 May 2022
1401,4.0,Best value of money,OnePlus Brand name is quite enough.In this price segment we can buy as well enjoy with product.,Reviewed in India 🇮🇳 on 21 April 2022
1402,5.0,Very good mobile,Very good mobile under this price range.,Reviewed in India 🇮🇳 on 17 July 2022
1403,4.0,Good phone at this price range,It’s a good phone in this price range.I am personally not surprised by the UI as I was using POCO X3 earlier…Display could’ve been better.AMOLED from samsung is much superior.Dolby Sound is missing.,Reviewed in India 🇮🇳 on 1 April 2022
1404,3.0,Everything good except battery life,Performance prospective this device has no issues but when it comes to battery it's draining bit early. Due to 65w charger we can charge it again in faster way.,Reviewed in India 🇮🇳 on 14 June 2022
1405,5.0,Super mobile,"Display & battery , weight management,sound everything is good.plz buy don't confuse.",Reviewed in India 🇮🇳 on 14 July 2022
1406,4.0,Camera very slow ( Directing ),Camera very slow ( Directing )  & finger print,Reviewed in India 🇮🇳 on 23 April 2022
1407,5.0,Good,Super,Reviewed in India 🇮🇳 on 20 July 2022
1408,5.0,Good working,Screen working good,Reviewed in India 🇮🇳 on 18 July 2022
1409,3.0,"Software is little slow, camera quality is average.","Software is little slow, camera quality is average.",Reviewed in India 🇮🇳 on 26 June 2022
1410,4.0,Very good mobile for this price i am very happy with this mobile,Excellent camera with good looks.previously i used Samsung (25000rs).Now I am very happy with this mobile.only draw back is battery life.it should be 5000mah instead of 4500mah.full chargung with 60w charger will take 45 minutes from 0 to 100,28 March 2022
1411,3.0,Low quality mobile,Other brands like iqoo have better phones lesser than this price. Just bought it because of the brand but one plus is low-quality brand.,17 June 2022
1412,5.0,Very Nice. Thank You,Thank you,19 July 2022
1413,5.0,Good,Good,20 July 2022
1414,4.0,Balanced phone,It is a balanced phone overall but in this price range there are better options than this it is a handy balanced phone with oneplus branding that makes it special. I suggest to buy it in sale or offer.Comparing to options this is not best in the segment.,11 March 2022
1415,5.0,Camera is nice,Nice camera Very big service batteryI love onepules,15 July 2022
1416,5.0,battery issue and heat issue,the battery life is very bad. there is no point to get the high speed charging if the battery backup is worst. :(secondly the phone heat very badly. if watch the video on Youtube or if i am on call i cannot put phone on my ear seems like phone can blast in anytime.@oneplus team do you want to say something about it?,20 May 2022
1417,4.0,Overall good performance at this cost value for money,I feel the quality of the phone is very good and my expectations are met. I am not a gamer but my requirements of having good fast performing phone for my day today needs. Decent camera and specs they have tried to match the performance. Overall happy.,13 March 2022
1418,4.0,Below average and too hyped,"The media could not be loaded.
                



 Poor battery and get heated on fast charging",29 April 2022
1419,4.0,Not getting feel of one plus,Not getting feel of one plus,3 May 2022
1420,4.0,Beautiful & nice,"Display & working speed is good, camera & battery average. Charging very fast",21 April 2022
